time_us,reduced_photon_number,full_meanfield_photon_number
5.924999999999998934e+00,1.033983327554044536e+03,1.034043433515155357e+03
5.929999999999998828e+00,9.804483610815365182e+02,9.805104509444222458e+02
5.934999999999998721e+00,9.244757354090022545e+02,9.245390628865062581e+02
5.939999999999998614e+00,8.669328781184385662e+02,8.669966998709551262e+02
5.944999999999999396e+00,8.086632789631303240e+02,8.087268547308440247e+02
5.949999999999999289e+00,7.504624072225252576e+02,7.505250139762423487e+02
5.954999999999999183e+00,6.930577100986959067e+02,6.931187280473631063e+02
5.959999999999999076e+00,6.370933095857589024e+02,6.371521524487870920e+02
5.964999999999998970e+00,5.831196861279831865e+02,5.831757773246119996e+02
5.969999999999998863e+00,5.315882459776621545e+02,5.316411515290470788e+02
5.974999999999999645e+00,4.828503913883708378e+02,4.828998145161606885e+02
5.979999999999999538e+00,4.371605160396818519e+02,4.372062623350010995e+02
5.984999999999999432e+00,3.946821786940034826e+02,3.947241398903987033e+02
5.989999999999999325e+00,3.554966782870178008e+02,3.555348442157284694e+02
5.994999999999999218e+00,3.196132411815411274e+02,3.196476321992399221e+02
5.999999999999999112e+00,2.869800871595790568e+02,2.870107896083488868e+02
6.004999999999999005e+00,2.574957373795613194e+02,2.575229044788509896e+02
6.009999999999998899e+00,2.310200444735374674e+02,2.310438754798844343e+02
6.014999999999998792e+00,2.073845304068231599e+02,2.074052496898164293e+02
6.019999999999998685e+00,1.864017500409099171e+02,1.864196001809083327e+02
6.024999999999999467e+00,1.678734965513743873e+02,1.678887370809632102e+02
6.029999999999999361e+00,1.515977657316781233e+02,1.516106554991868904e+02
6.034999999999999254e+00,1.373744633910298489e+02,1.373852552755921295e+02
6.039999999999999147e+00,1.250099130845407842e+02,1.250188324624828624e+02
6.044999999999999041e+00,1.143202467254694596e+02,1.143275119395152757e+02
6.049999999999998934e+00,1.051338011095072460e+02,1.051396000232687271e+02
6.054999999999998828e+00,9.729265360723736933e+01,9.729716407922349219e+01
6.059999999999998721e+00,9.065343610301292188e+01,9.065681687472282135e+01
6.064999999999999503e+00,8.508756081071719279e+01,8.508995071578560498e+01
6.069999999999999396e+00,8.048099095429768113e+01,8.048250193208697567e+01
6.074999999999999289e+00,7.673366535707519631e+01,7.673439459264396589e+01
6.079999999999999183e+00,7.375868402490382891e+01,7.375872359933450184e+01
6.084999999999999076e+00,7.148133854888119743e+01,7.148077019952550870e+01
6.089999999999998970e+00,6.983805870608438227e+01,6.983694423149984232e+01
6.094999999999998863e+00,6.877533408551076377e+01,6.877372003378059162e+01
6.099999999999998757e+00,6.824865340810140424e+01,6.824657907255235045e+01
6.104999999999999538e+00,6.822149544513125363e+01,6.821899361065861456e+01
